Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
37,Gonzalo Escobar,Santos,Santos,LB,LB,1,27,600000,2024-12-31,30,2873,Argentina,Argentina,left,171,70,yes,11.09,5.480046,1.22301,3.10149,5.672829999999999,12.02852,2.69,1.942134,0.81,1.346112,1.69,0.41,0.08,0.72,3.912348,0.38,1.13,1.345694,BRA2,Testing,2024,0.7711838186433811,0.7804656153924442,0.7758247170179127
38,Marcos Vinicius,Avaí,Avaí,RB,RB,1,27,0,2024-12-31,31,3062,Brazil,Brazil,right,176,69,yes,8.7,4.084041,1.937187,2.735817,6.287940000000001,10.787952,4.03,2.84859,0.71,2.05572,1.62,0.09,0.11,1.18,3.235603,0.35,1.68,1.764268,BRA2,Testing,2024,0.7904660619437202,0.8261721600111542,0.8083191109774372
39,Patrick Brey,Botafogo SP,Botafogo SP,"LB, LWB",LB,1,27,125000,2024-11-30,30,2013,Brazil,"Brazil, Germany",left,177,67,no,8.23,4.026516,1.295504,1.740816,5.273739000000001,7.557429,2.77,4.11346,1.61,1.651496,2.24,0.49,0.05,0.89,2.72489,0.72,0.72,1.5672,BRA2,Testing,2024,0.6315367762348415,0.7209869766941188,0.6762618764644801
40,Mateus Pivô,Brusque,Brusque,"RB, RWB",RB,1,26,0,2025-06-30,26,2291,Brazil,Brazil,right,180,70,no,9.47,4.971942000000001,2.565465000000001,1.604595,4.453118,5.9348,1.89,2.4048,0.88,1.160016,2.01,0.32,0.07,0.76,2.68677,0.36,0.76,0.760032,BRA2,Testing,2024,0.3755034986421661,0.390987499380172,0.3832454990111691
41,Kevyn,Paysandu,Paysandu,LB,LB,1,26,100000,2025-12-31,28,2270,Brazil,Brazil,left,178,76,no,7.57,4.320428,1.625373,0.4364039999999999,2.5351,4.437655,1.19,2.4205,0.75,0.8346750000000001,0.63,0.08,0.01,0.08,1.705746,0.12,0.2,0.276639,BRA2,Testing,2024,0.0,0.0,0.0
42,Luiz Felipe,Ponte Preta,Ponte Preta,RB,RB,1,26,100000,2025-04-11,10,816,Brazil,Brazil,right,180,76,no,11.0,5.381053999999999,0.935,2.572296,5.503806,7.255348000000001,1.29,1.638472,0.23,0.5833800000000001,1.29,0.0,0.04,0.47,3.864714,0.35,0.35,0.7040000000000001,BRA2,Testing,2024,0.2987935193650232,0.3401848484293169,0.3194891838971701
43,João Vitor,Vila Nova,Vila Nova,"RB, DMF, RCMF",RB,1,26,100000,2024-12-31,23,1294,Brazil,Brazil,right,177,77,no,8.83,3.893935,1.183648,4.240395,8.624616000000001,11.061112,2.23,2.297433,0.21,0.696126,1.18,0.28,0.19,1.32,6.60781,0.63,0.9,1.528122,BRA2,Testing,2024,1.0,1.0,1.0
44,Igor Inocêncio,Ponte Preta,Ponte Preta,"RB, LB",RB,1,26,300000,2024-11-30,27,2368,Brazil,Brazil,right,185,78,no,7.73,4.206,1.783881,2.302608,5.516880000000001,9.283458000000001,2.14,1.347558,0.44,0.6754650000000001,1.03,0.12,0.07,0.63,2.4587,0.4,0.99,1.228467,BRA2,Testing,2024,0.47114117830799,0.5306551897096095,0.5008981840087997
45,Maílton,Chapecoense,Chapecoense,"RB, RW",RB,1,26,700000,2026-06-30,19,1140,Brazil,Brazil,right,169,71,yes,6.39,3.237000000000001,0.632345,1.57762,4.974,6.709438,5.21,6.234525,1.74,3.633552,2.76,0.63,0.16,1.97,3.15813,0.24,1.11,1.184375,BRA2,Testing,2024,0.6069349669783765,0.684093982828465,0.6455144749034207
46,Marcelinho,Chapecoense,Chapecoense,RB,RB,1,26,0,,24,1827,Brazil,Brazil,right,169,71,no,8.33,3.44551,2.2183,1.3284,4.088559999999999,7.043156,3.84,3.00288,1.48,1.872339,2.41,0.69,0.05,0.64,2.01927,0.2,1.28,1.180418,BRA2,Testing,2024,0.5262064500178362,0.5751482487401703,0.5506773493790033
