Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
30,Messias,Goiás,Goiás,RCB,RCB,4,29,600000,2025-12-31,19,1866,Brazil,Brazil,right,192,92,yes,7.08,3.105536,4.53749,0.46,5.6,2.498265,8.257509,4.58784,14.474952,0.253836,0.05,0.36,3.107764,BRA2,Testing,2024,0.439832613510822,0.4224716558885053,0.4311521346996637
31,Joseph,Operário PR,Operário PR,"RCB, LCB",RCB,4,29,100000,2025-11-30,18,1729,Brazil,Brazil,right,186,79,no,7.18,2.652374,0.940814,0.66,6.59,1.935272,10.217856,3.812256,18.566352,0.716898,0.2785770000000001,0.99,3.145740000000001,BRA2,Testing,2024,0.4179134254932343,0.3974870362249713,0.4077002308591028
32,Diogo Silva,Tianjin Tigers,Amazonas,LCB,LCB,4,29,200000,2024-11-30,14,1364,Brazil,Brazil,right,187,83,no,6.2,2.241297,1.650936,0.2,5.0,2.443009,10.884076,3.75968,22.304128,0.197156,0.0,0.26,1.450824,BRA2,Testing,2024,0.2064622725123907,0.1554870894600955,0.1809746809862431
33,Matheus Costa,Botafogo SP,Botafogo SP,"RCB, LCB",RCB,4,29,300000,2025-12-31,21,1775,Brazil,"Brazil, Portugal",right,188,82,no,7.55,3.09411,2.17833,0.25,5.6,2.12745,11.764838,4.462315,16.734375,0.762,0.306682,1.32,3.241962,BRA2,Testing,2024,0.5274647426905232,0.5007663918158323,0.5141155672531778
34,J. Quintero,,Vila Nova,RCB,RCB,4,29,700000,,19,1497,Colombia,Colombia,right,184,79,no,7.33,2.586455,2.586455,0.36,6.41,1.74525,10.222443,4.207117,15.74832,0.239988,0.12,0.18,1.62545,BRA2,Testing,2024,0.4097483507505347,0.3405165683699204,0.3751324595602276
35,Éder,América Mineiro,América Mineiro,"LCB, RCB",LCB,4,29,800000,2024-12-31,25,2413,Brazil,Brazil,right,184,82,no,6.34,2.649702,2.388476,0.48,5.48,3.767519999999999,19.28514,8.131032000000001,21.778745,0.411019,0.11,0.9,5.483992,BRA2,Testing,2024,0.6598595730493546,0.667417842803087,0.6636387079262208
36,Jonathan Costa,Avaí,Avaí,"LCB, RCB",LCB,4,29,250000,2024-12-31,9,755,Brazil,Brazil,right,186,70,no,10.13,3.811496,2.501052,0.95,7.96,4.05428,11.917615,4.766905,20.744614,1.668238,0.480024,1.43,4.887712000000001,BRA2,Testing,2024,0.9719256125613404,0.9771479076770954,0.9745367601192179
37,Ramon Menezes,Ceará,Ceará,"RCB, LCB",RCB,4,29,400000,2025-12-31,15,1129,Brazil,Brazil,right,186,81,no,5.5,1.67475,3.504732,0.48,5.09,3.026818,10.446688,4.224550000000001,15.3821,0.400008,0.24,0.0,2.632858,BRA2,Testing,2024,0.3128924684245897,0.2815599505333927,0.2972262094789913
38,Mateus Silva,Ponte Preta,Ponte Preta,RCB,RCB,4,29,150000,2025-12-31,19,1824,Brazil,Brazil,right,192,92,no,9.55,3.544660000000001,1.616748,0.68,6.94,3.962766,12.418384,5.528111,12.987571,0.6273249999999999,0.053328,1.2,3.86391,BRA2,Testing,2024,0.8045264237923796,0.7785894331243184,0.7915579284583489
39,Ianson,Brusque,Brusque,"RCB, CB",RCB,4,29,100000,2025-11-30,21,2015,Brazil,Brazil,right,187,80,no,10.23,3.30828,1.918982,0.8,8.37,2.41178,11.565576,4.0625,14.739372,0.5325,0.176,0.27,1.650313,BRA2,Testing,2024,0.7449220919169117,0.6988271092589207,0.7218746005879162
40,Lucas Dias,Muharraq,Botafogo SP,"CB, RCB",CB,4,29,0,2024-12-05,15,1386,Brazil,Brazil,right,191,82,no,9.55,3.636905,1.947904,0.58,5.95,2.923052,9.350249999999999,4.21875,14.481306,0.7768679999999999,0.256,0.32,2.534805,BRA2,Testing,2024,0.6375092693164927,0.6244795240170662,0.6309943966667795
41,Benevenuto,Coritiba,Coritiba,"LCB, RCB",LCB,4,28,2000000,2026-12-31,22,1962,Brazil,Brazil,right,181,78,yes,7.2,2.246976,2.156686,0.64,6.55,3.076128,9.039744,3.303268,16.19036,0.595548,0.135,1.01,1.78761,BRA2,Testing,2024,0.3263027159124324,0.3281234248047336,0.327213070358583
42,Lucão,América Mineiro,América Mineiro,LCB,LCB,4,28,400000,2025-12-31,12,1126,Brazil,Brazil,right,187,80,no,6.63,2.240112,3.360168,0.8,5.64,1.840144,16.462194,4.473159,20.779698,0.239976,0.08,0.96,2.720008,BRA2,Testing,2024,0.4430829429509416,0.4195562696191725,0.4313196062850571
